index,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,staff_1,staff_2,staff_3,staff_4,Title,Ranked,Popularity,Members,PositiveReviews,MixedReviews,NegativeReviews,Staff,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Related_content
53128,,,,,,,,,,"Katou, Makoto:Director","Aketagawa, Jin:Sound Director","Hanada, Jukki:Script","Matsumoto, Fuminori:Music",Atri: My Dear Moments,N/A,#5555,"13,919",0,0,0,"['Katou, Makoto', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Hanada, Jukki', 'Script'], ['Matsumoto, Fuminori', 'Music']","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Broadcast, 
    Unknown","Studios, 
TROYCA","Source, 
  Visual novel","Genres, 
DramaDrama,         RomanceRomance","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #5555","Members, 
    13,919",Adaptation:: /manga/152483/Atri__My_Dear_Moments
54855,,,,,,,,,,"Yanagi, Shinsuke:Director","Hashimoto, Yukari:Music",Pomu:Original Creator,"Tomita, Yoriko:Series Composition",Senpai wa Otokonoko,N/A,#6061,"11,196",0,0,0,"['Yanagi, Shinsuke', 'Director'], ['Hashimoto, Yukari', 'Music'], ['Pomu', 'Original Creator'], ['Tomita, Yoriko', 'Series Composition']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Aniplex","Licensors, 
    None found, add some","Studios, 
Project No.9","Source, 
  Web manga","Genre, 
RomanceRomance","Themes, 
CrossdressingCrossdressing,         SchoolSchool","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/137982/Senpai_wa_Otokonoko
55996,,,,,,,,,,"Oochi, Kazuaki:Producer","Nakanishi, Motoki:Director","Naya, Ryousuke:Sound Director","Yokote, Michiko:Series Composition",Koi wa Futago de Warikirenai,N/A,#6389,"9,866",0,0,0,"['Oochi, Kazuaki', 'Producer'], ['Nakanishi, Motoki', 'Director'], ['Naya, Ryousuke', 'Sound Director'], ['Yokote, Michiko', 'Series Composition']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
ROLL2","Source, 
  Light novel","Genres, 
ComedyComedy,         RomanceRomance","Themes, 
Love PolygonLove Polygon,         SchoolSchool","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/144055/Koi_wa_Futago_de_Warikirenai
57810,,,,,,,,,,"Kanbe, Mamoru:Director","Yonezawa, Honobu:Original Creator","Obata, Takahiro:Music","Oono, Toshiya:Series Composition",Shoushimin Series,N/A,#6483,"9,558",0,0,0,"['Kanbe, Mamoru', 'Director'], ['Yonezawa, Honobu', 'Original Creator'], ['Obata, Takahiro', 'Music'], ['Oono, Toshiya', 'Series Composition']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Lapin Track","Source, 
  Novel","Genre, 
MysteryMystery","Theme, 
SchoolSchool","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/166058/Shoushimin_Series
58059,,,,,,,,,,"Yoshihara, Tatsuya:Director","Morishita, Hiroto:Sound Director","Hayashi, Yuuki:Music","Omori, Fujino:Original Creator",Tsue to Tsurugi no Wistoria,N/A,#6774,"8,543",0,0,0,"['Yoshihara, Tatsuya', 'Director'], ['Morishita, Hiroto', 'Sound Director'], ['Hayashi, Yuuki', 'Music'], ['Omori, Fujino', 'Original Creator']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Lantis,       Jinnan Studio,       Studio Easter","Licensors, 
    None found, add some","Studios, 
Actas,       Bandai Namco Pictures","Source, 
  Manga","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Theme, 
SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/131924/Tsue_to_Tsurugi_no_Wistoria
56062,,,,,,,,,,"Minamikawa, Tatsuma:Director","Aketagawa, Jin:Sound Director","Sazane, Kei:Original Creator","Katou, Hiromi:Character Design",Naze Boku no Sekai wo Daremo Oboeteinai no ka?,N/A,#6966,"7,989",0,0,0,"['Minamikawa, Tatsuma', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Sazane, Kei', 'Original Creator'], ['Katou, Hiromi', 'Character Design']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Magic Capsule,       Dream Shift,       Fabtone","Licensors, 
    None found, add some","Studios, 
Project No.9","Source, 
  Light novel","Genres, 
ActionAction,         FantasyFantasy,         Sci-FiSci-Fi","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/107339/Naze_Boku_no_Sekai_wo_Daremo_Oboeteinai_no_ka
57567,,,,,,,,,,"Andou, Masaomi:Director","Hamano, Takatoshi:Sound Director","Tanaka, Yuuichi:Character Design","Miki, Bukimi:Original Creator",Shy 2nd Season,N/A,#7083,"7,656",0,0,0,"['Andou, Masaomi', 'Director'], ['Hamano, Takatoshi', 'Sound Director'], ['Tanaka, Yuuichi', 'Character Design'], ['Miki, Bukimi', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
8bit","Source, 
  Manga","Genres, 
ActionAction,         DramaDrama","Theme, 
Super PowerSuper Power","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  PG-13 - Teens 13 or older","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Adaptation:: /manga/121197/Shy, Prequel:: /anime/53237/Shy"
54724,,,,,,,,,,"Yamazaki, Yuuta:Director","Fujita, Akiko:Sound Director","Matsui, Yuusei:Original Creator","Tateyama, Akiyuki:Music",Nige Jouzu no Wakagimi,N/A,#7209,"7,320",0,0,0,"['Yamazaki, Yuuta', 'Director'], ['Fujita, Akiko', 'Sound Director'], ['Matsui, Yuusei', 'Original Creator'], ['Tateyama, Akiyuki', 'Music']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
CloverWorks","Source, 
  Manga","Genres, 
AdventureAdventure,         ComedyComedy","Themes, 
HistoricalHistorical,         SamuraiSamurai","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/132845/Nige_Jouzu_no_Wakagimi
58426,,,,,,,,,,"Oota, Masahiko:Director","Aoshima, Takashi:Script","Misawa, Yasuhiro:Music",Oshioshio:Original Creator,Shikanoko Nokonoko Koshitantan,N/A,#7236,"7,244",0,0,0,"['Oota, Masahiko', 'Director'], ['Aoshima, Takashi', 'Script'], ['Misawa, Yasuhiro', 'Music'], ['Oshioshio', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 7, 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Wit Studio","Source, 
  Manga","Genre, 
ComedyComedy","Themes, 
CGDCTCGDCT,         SchoolSchool","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/135455/Shikanoko_Nokonoko_Koshitantan
54835,,,,,,,,,,"Umabiki, Kei:Director","Takadera, Takeshi:Sound Director","Yasukawa, Shougo:Script","Tajiri, Kenichi:Art Director",Kono Sekai wa Fukanzen Sugiru,N/A,#7237,"7,213",0,0,0,"['Umabiki, Kei', 'Director'], ['Takadera, Takeshi', 'Sound Director'], ['Yasukawa, Shougo', 'Script'], ['Tajiri, Kenichi', 'Art Director']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Studio Palette,       100studio","Source, 
  Web manga","Genres, 
AdventureAdventure,         FantasyFantasy","Theme, 
Video GameVideo Game","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/130364/Kono_Sekai_wa_Fukanzen_Sugiru
57217,,,,,,,,,,"Oohashi, Akiyo:Director","Ayana, Yuniko:Script","Fujiwara, Cocoa:Original Creator","Iizuka, Haruko:Character Design",Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,N/A,#7262,"7,174",0,0,0,"['Oohashi, Akiyo', 'Director'], ['Ayana, Yuniko', 'Script'], ['Fujiwara, Cocoa', 'Original Creator'], ['Iizuka, Haruko', 'Character Design']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Bones","Source, 
  Manga","Genres, 
ComedyComedy,         FantasyFantasy,         RomanceRomance","Theme, 
Mahou ShoujoMahou Shoujo","Demographic, 
ShounenShounen","Duration, 
  Unknown","Rating, 
  None",Adaptation:: /manga/75749/Katsute_Mahou_Shoujo_to_Aku_wa_Tekitai_shiteita
49778,,,,,,,,,,"Aiura, Kazuya:Director","Akao, Deko:Series Composition","Takada, Ryuuichi:Music","Takahashi, Kuniyuki:Music",Kijin Gentoushou,N/A,#7406,"6,875",0,0,0,"['Aiura, Kazuya', 'Director'], ['Akao, Deko', 'Series Composition'], ['Takada, Ryuuichi', 'Music'], ['Takahashi, Kuniyuki', 'Music']","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Broadcast, 
    Unknown","Studios, 
Yokohama Animation Lab","Source, 
  Novel","Genre, 
FantasyFantasy","Theme, 
HistoricalHistorical","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7406",Adaptation:: /manga/136319/Kijin_Gentoushou
57524,,,,,,,,,,"Kitamura, Shoutarou:Director","Yoshida, Kouhei:Sound Director","Toono, Hikaru:Theme Song Performance","Imigi, Muru:Original Character Design",Make Heroine ga Oosugiru!,N/A,#7466,"6,727",0,0,0,"['Kitamura, Shoutarou', 'Director'], ['Yoshida, Kouhei', 'Sound Director'], ['Toono, Hikaru', 'Theme Song Performance'], ['Imigi, Muru', 'Original Character Design']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Aniplex","Licensors, 
    None found, add some","Studios, 
A-1 Pictures","Source, 
  Light novel","Genres, 
ComedyComedy,         RomanceRomance","Theme, 
SchoolSchool","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/138481/Make_Heroine_ga_Oosugiru
56449,,,,,,,,,,"Kubo, Yousuke:Director","Nagasaki, Yukio:Sound Director","Misaki, Nako:Theme Song Performance","Horiuchi, Marina:Theme Song Performance",Madougushi Dahliya wa Utsumukanai,N/A,#7609,"6,433",0,0,0,"['Kubo, Yousuke', 'Director'], ['Nagasaki, Yukio', 'Sound Director'], ['Misaki, Nako', 'Theme Song Performance'], ['Horiuchi, Marina', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
    None found, add some","Licensors, 
    None found, add some","Studios, 
Typhoon Graphics,       Imagica Infos","Source, 
  Light novel","Genres, 
FantasyFantasy,         Slice of LifeSlice of Life","Themes, 
IsekaiIsekai,         ReincarnationReincarnation","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/138403/Madougushi_Dahliya_wa_Utsumukanai__Kyou_kara_Jiyuu_na_Shokunin_Life
55844,,,,,,,,,,"Watanabe, Toshinori:Director",Janome:Original Creator,"Narita, Yoshimi:Series Composition","Kikuchi, Youko:Character Design",Tasogare Out Focus,N/A,#7638,"6,366",0,0,0,"['Watanabe, Toshinori', 'Director'], ['Janome', 'Original Creator'], ['Narita, Yoshimi', 'Series Composition'], ['Kikuchi, Youko', 'Character Design']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
Studio Deen","Source, 
  Manga","Genre, 
Boys LoveBoys Love","Theme, 
SchoolSchool","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/121885/Tasogare_Out_Focus
57099,,,,,,,,,,"Kakimoto, Koudai:Director","Itou, Takumi:Sound Director","Ayana, Yuniko:Script","Gotou, Midori:Script",Na Nare Hana Nare,N/A,#7774,"6,084",0,0,0,"['Kakimoto, Koudai', 'Director'], ['Itou, Takumi', 'Sound Director'], ['Ayana, Yuniko', 'Script'], ['Gotou, Midori', 'Script']","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Broadcast, 
    Unknown","Licensors, 
    None found, add some","Studios, 
P.A. Works","Source, 
  Original","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #7774","Members, 
    6,084",
54284,,,,,,,,,,"Asaoka, Takuya:Director","Akao, Deko:Series Composition","Iwasaki, Reina:Character Design","Nanato, Nana:Original Creator",VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta,N/A,#7851,"5,941",0,0,0,"['Asaoka, Takuya', 'Director'], ['Akao, Deko', 'Series Composition'], ['Iwasaki, Reina', 'Character Design'], ['Nanato, Nana', 'Original Creator']","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Licensors, 
    None found, add some","Studios, 
TNK","Source, 
  Light novel","Genre, 
ComedyComedy","Theme, 
Otaku CultureOtaku Culture","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",Adaptation:: /manga/138718/VTuber_Nanda_ga_Haishin_Kiri_Wasuretara_Densetsu_ni_Natteta
57876,,,,,,,,,,"Nagahama, Norihiko:Director","Motoyama, Satoshi:Sound Director","Yamamoto, Kohta:Theme Song Performance","Ikegai, Shun:Theme Song Performance",Maougun Saikyou no Majutsushi wa Ningen datta,N/A,#8088,"5,550",0,0,0,"['Nagahama, Norihiko', 'Director'], ['Motoyama, Satoshi', 'Sound Director'], ['Yamamoto, Kohta', 'Theme Song Performance'], ['Ikegai, Shun', 'Theme Song Performance']","Type, 
TV","Episodes, 
  Unknown","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Producers, 
Pony Canyon,       Bit grooove promotion","Licensors, 
    None found, add some","Studios, 
Studio A-CAT","Source, 
  Light novel","Genres, 
ActionAction,         AdventureAdventure,         FantasyFantasy","Themes, 
IsekaiIsekai,         ReincarnationReincarnation","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.",Adaptation:: /manga/121357/Maougun_Saikyou_no_Majutsushi_wa_Ningen_datta
56179,,,,,,,,,,"Nishikiori, Hiroshi:Director","Hamano, Takatoshi:Sound Director","Suemitsu, Kenichi:Script","Itou, Youko:Character Design",Delico's Nursery,N/A,#8249,"5,285",0,0,0,"['Nishikiori, Hiroshi', 'Director'], ['Hamano, Takatoshi', 'Sound Director'], ['Suemitsu, Kenichi', 'Script'], ['Itou, Youko', 'Character Design']","Status, 
  Not yet aired","Aired, 
  Jul 2024 to ?","Premiered, 
Summer 2024","Broadcast, 
    Unknown","Studios, 
J.C.Staff","Source, 
  Other","Genre, 
FantasyFantasy","Themes, 
ChildcareChildcare,         VampireVampire","Duration, 
  Unknown","Rating, 
  None","Score, 
N/A1 (scored by - users)
      
1
          indicates a weighted score.","Ranked, 
  N/A2

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.","Popularity, 
  #8249",
